"Back-end Developer | Php","Junior","1 - 3 Yıl","Dijital / Reklam Ajansı","İstanbul","5.000 TL - 7.500 TL"
"Front-end Developer","Middle","7 - 10 Yıl","E-Ticaret","İstanbul","5.000 TL - 7.500 TL"
"Mobile Developer | iOS","Junior","0 - 1 Yıl","Startup","İstanbul","2.000 TL ve aşağısı"
"Back-end Developer | Java","Senior","5 - 7 Yıl","Yazılım Evi","İstanbul","7.500 TL - 10.000 TL"
"Back-end Developer | .Net","Junior","0 - 1 Yıl","Kurumsal","İstanbul","2.000 TL - 3.000 TL"
"Full Stack Developer","Middle","5 - 7 Yıl","Kurumsal","İstanbul","5.000 TL - 7.500 TL"
"Back-end Developer | .Net","Senior","7 - 10 Yıl","Kurumsal","İstanbul","7.500 TL - 10.000 TL"
"Back-end Developer | .Net","Middle","7 - 10 Yıl","Kurumsal","İstanbul","5.000 TL - 7.500 TL"
"Embedded Software Developer","Middle","3 - 5 Yıl","Kurumsal","Ankara","7.500 TL - 10.000 TL"
"Front-end Developer","Senior","5 - 7 Yıl","Kurumsal","İstanbul","7.500 TL - 10.000 TL"
"Back-end Developer | .Net","Middle","3 - 5 Yıl","Kurumsal","İstanbul","5.000 TL - 7.500 TL"
"Back-end Developer | .Net","Senior","7 - 10 Yıl","Outsource","Bursa","4.000 TL - 5.000 TL"
"Product Owner","Middle","1 - 3 Yıl","Kurumsal","İstanbul","3.000 TL - 4.000 TL"
"Back-end Developer | Php","Senior","5 - 7 Yıl","E-Ticaret","İstanbul","5.000 TL - 7.500 TL"
"Back-end Developer | Php","Senior","7 - 10 Yıl","Startup","Gaziantep","5.000 TL - 7.500 TL"
"Back-end Developer | .Net","Middle","1 - 3 Yıl","Kurumsal","İstanbul","4.000 TL - 5.000 TL"
"Mobile Developer | iOS","Middle","1 - 3 Yıl","Kurumsal","İstanbul","4.000 TL - 5.000 TL"
"Software Development Team Lead","Senior","10+","Kurumsal","İstanbul","10.000 TL - 12.500 TL"
"Back-end Developer | .Net","Senior","5 - 7 Yıl","Kurumsal","Delft","15.000 TL ve üzeri"
"Front-end Developer","Senior","3 - 5 Yıl","Outsource","İstanbul","7.500 TL - 10.000 TL"
"Front-end Developer","Middle","1 - 3 Yıl","Dijital / Reklam Ajansı","İstanbul","2.000 TL ve aşağısı"
"Back-end Developer | Php","Middle","3 - 5 Yıl","E-Ticaret","İstanbul","4.000 TL - 5.000 TL"
"Software Architect","Middle","10+","E-Ticaret","Yurt Dışı","15.000 TL ve üzeri"
"Full Stack Developer","Middle","5 - 7 Yıl","Outsource","İstanbul","3.000 TL - 4.000 TL"
"Back-end Developer | .Net","Middle","1 - 3 Yıl","Kurumsal","İstanbul","5.000 TL - 7.500 TL"
